freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.220e+03,2.229e+02,2.639e+01,1.469e+03
1.6,1.212e+03,8.943e+02,8.325e+01,2.189e+03
3.2,5.849e+02,1.058e+03,1.120e+02,1.755e+03
4.8,1.008e+03,1.178e+03,1.031e+02,2.288e+03
6.3,2.042e+03,1.149e+03,8.715e+01,3.279e+03
7.9,3.157e+03,1.007e+03,1.085e+02,4.273e+03
9.5,4.035e+03,1.083e+03,1.137e+02,5.232e+03
11.1,4.766e+03,1.319e+03,1.078e+02,6.193e+03
12.7,6.433e+03,1.039e+03,9.465e+01,7.567e+03
14.3,8.626e+03,9.848e+02,1.058e+02,9.717e+03
15.9,1.133e+04,1.025e+03,9.276e+01,1.245e+04
17.5,1.412e+04,1.230e+03,1.086e+02,1.546e+04
19.0,1.733e+04,1.419e+03,1.188e+02,1.887e+04
20.6,2.112e+04,1.181e+03,1.084e+02,2.241e+04
22.2,2.473e+04,1.025e+03,9.007e+01,2.585e+04
23.8,2.885e+04,1.092e+03,1.048e+02,3.005e+04
25.4,3.408e+04,1.016e+03,1.052e+02,3.520e+04
27.0,4.094e+04,1.033e+03,9.453e+01,4.206e+04
28.6,4.763e+04,1.083e+03,1.139e+02,4.883e+04
30.2,5.344e+04,1.039e+03,1.281e+02,5.461e+04
31.7,6.181e+04,1.151e+03,1.429e+02,6.310e+04
33.3,7.305e+04,1.181e+03,1.468e+02,7.438e+04
34.9,8.776e+04,1.189e+03,1.269e+02,8.907e+04
36.5,1.070e+05,1.067e+03,1.307e+02,1.082e+05
38.1,1.311e+05,1.032e+03,1.569e+02,1.323e+05
39.7,1.480e+05,1.084e+03,1.789e+02,1.492e+05
41.3,1.614e+05,1.310e+03,1.698e+02,1.629e+05
42.9,1.774e+05,1.158e+03,1.720e+02,1.788e+05
44.4,2.005e+05,9.776e+02,1.878e+02,2.017e+05
46.0,2.529e+05,1.377e+03,1.523e+02,2.544e+05
47.6,3.415e+05,1.319e+03,1.237e+02,3.430e+05
49.2,4.519e+05,1.217e+03,2.419e+02,4.533e+05
50.8,5.976e+05,1.436e+03,1.087e+03,6.001e+05
52.4,8.091e+05,1.964e+03,3.548e+03,8.146e+05
54.0,1.196e+06,2.737e+03,7.599e+03,1.206e+06
55.6,1.670e+06,4.942e+03,1.082e+04,1.685e+06
57.1,1.889e+06,7.324e+03,1.134e+04,1.908e+06
58.7,2.406e+06,1.482e+04,1.311e+04,2.433e+06
60.3,3.686e+06,4.135e+04,1.925e+04,3.747e+06
61.9,4.644e+06,7.963e+04,2.356e+04,4.747e+06
63.5,4.439e+06,9.844e+04,2.150e+04,4.559e+06
65.1,3.727e+06,9.403e+04,1.765e+04,3.838e+06
66.7,2.799e+06,7.153e+04,1.258e+04,2.883e+06
68.2,1.962e+06,5.548e+04,8.141e+03,2.026e+06
69.8,1.452e+06,5.033e+04,5.811e+03,1.508e+06
71.4,1.128e+06,5.518e+04,4.653e+03,1.188e+06
73.0,9.072e+05,5.698e+04,4.276e+03,9.684e+05
74.6,7.423e+05,5.103e+04,3.911e+03,7.972e+05
76.2,6.080e+05,4.404e+04,3.450e+03,6.555e+05
77.8,5.002e+05,3.730e+04,2.986e+03,5.405e+05
79.4,4.119e+05,2.781e+04,2.405e+03,4.421e+05
80.9,3.313e+05,1.850e+04,1.812e+03,3.516e+05
82.5,2.461e+05,1.122e+04,1.226e+03,2.585e+05
84.1,2.023e+05,9.449e+03,8.816e+02,2.127e+05
85.7,1.874e+05,1.051e+04,7.443e+02,1.986e+05
87.3,1.756e+05,1.259e+04,6.680e+02,1.889e+05
88.9,1.673e+05,1.264e+04,5.741e+02,1.805e+05
90.5,1.604e+05,1.157e+04,4.107e+02,1.723e+05
92.1,1.495e+05,8.885e+03,3.115e+02,1.587e+05
93.6,1.349e+05,6.054e+03,3.625e+02,1.414e+05
95.2,1.209e+05,4.315e+03,4.583e+02,1.257e+05
96.8,1.092e+05,3.412e+03,5.154e+02,1.131e+05
98.4,9.911e+04,3.126e+03,5.163e+02,1.028e+05
100.0,9.139e+04,3.321e+03,4.528e+02,9.517e+04
101.6,8.523e+04,3.042e+03,4.648e+02,8.874e+04
103.2,7.694e+04,3.493e+03,5.245e+02,8.096e+04
104.8,6.308e+04,4.319e+03,7.121e+02,6.811e+04
106.3,5.438e+04,4.630e+03,1.203e+03,6.022e+04
107.9,5.267e+04,4.765e+03,2.500e+03,5.993e+04
109.5,5.313e+04,5.598e+03,5.641e+03,6.437e+04
111.1,5.455e+04,7.078e+03,1.125e+04,7.288e+04
112.7,5.667e+04,6.592e+03,1.734e+04,8.060e+04
114.3,5.991e+04,6.303e+03,2.140e+04,8.761e+04
115.9,6.229e+04,5.703e+03,2.450e+04,9.249e+04
117.5,5.984e+04,6.389e+03,2.822e+04,9.444e+04
119.0,5.667e+04,8.205e+03,3.283e+04,9.771e+04
120.6,5.614e+04,1.270e+04,3.651e+04,1.053e+05
122.2,5.630e+04,1.775e+04,3.584e+04,1.099e+05
123.8,5.539e+04,1.497e+04,2.937e+04,9.973e+04
125.4,5.519e+04,1.077e+04,1.959e+04,8.555e+04
127.0,5.640e+04,1.687e+04,2.236e+04,9.563e+04
128.6,5.594e+04,1.977e+04,2.136e+04,9.708e+04
130.1,5.237e+04,1.867e+04,1.712e+04,8.815e+04
131.7,4.548e+04,1.445e+04,1.376e+04,7.369e+04
133.3,1.912e+04,9.792e+03,6.443e+03,3.535e+04
134.9,2.260e+03,6.128e+03,1.489e+03,9.877e+03
136.5,1.300e+03,5.501e+03,8.679e+02,7.669e+03
138.1,1.162e+03,5.575e+03,9.160e+02,7.654e+03
139.7,1.013e+03,4.720e+03,1.152e+03,6.885e+03
141.3,1.019e+03,3.564e+03,1.564e+03,6.146e+03
142.8,1.036e+03,3.244e+03,2.376e+03,6.656e+03
144.4,1.214e+03,2.999e+03,2.680e+03,6.892e+03
146.0,1.174e+03,3.226e+03,2.722e+03,7.121e+03
147.6,1.141e+03,4.288e+03,3.100e+03,8.529e+03
149.2,1.455e+03,4.020e+03,2.622e+03,8.098e+03
150.8,1.731e+03,3.610e+03,2.770e+03,8.111e+03
152.4,1.662e+03,3.418e+03,2.659e+03,7.738e+03
154.0,1.445e+03,3.148e+03,2.401e+03,6.993e+03
155.5,1.337e+03,2.875e+03,2.267e+03,6.480e+03
157.1,1.426e+03,2.627e+03,1.964e+03,6.017e+03
158.7,1.335e+03,2.408e+03,1.627e+03,5.370e+03
160.3,1.450e+03,2.416e+03,1.437e+03,5.303e+03
161.9,1.813e+03,2.310e+03,1.280e+03,5.403e+03
163.5,2.065e+03,1.957e+03,1.116e+03,5.138e+03
165.1,1.951e+03,1.736e+03,1.575e+03,5.261e+03
166.7,1.737e+03,1.612e+03,2.423e+03,5.773e+03
168.2,1.569e+03,1.407e+03,2.738e+03,5.714e+03
169.8,1.455e+03,1.372e+03,2.709e+03,5.536e+03
171.4,1.580e+03,1.486e+03,2.066e+03,5.132e+03
173.0,2.065e+03,1.879e+03,1.467e+03,5.411e+03
174.6,2.370e+03,1.688e+03,1.860e+03,5.917e+03
176.2,2.509e+03,1.602e+03,2.265e+03,6.376e+03
177.8,3.170e+03,1.539e+03,2.615e+03,7.323e+03
179.4,3.867e+03,1.401e+03,2.863e+03,8.130e+03
180.9,4.102e+03,1.563e+03,2.597e+03,8.262e+03
182.5,3.856e+03,1.580e+03,1.808e+03,7.245e+03
184.1,4.292e+03,1.802e+03,1.317e+03,7.411e+03
185.7,4.648e+03,1.810e+03,1.200e+03,7.658e+03
187.3,4.518e+03,1.646e+03,1.033e+03,7.197e+03
188.9,4.565e+03,1.897e+03,1.266e+03,7.729e+03
190.5,6.204e+03,2.090e+03,1.859e+03,1.015e+04
192.0,7.355e+03,2.701e+03,1.784e+03,1.184e+04
193.6,7.756e+03,2.505e+03,2.134e+03,1.239e+04
195.2,7.654e+03,2.272e+03,2.673e+03,1.260e+04
196.8,7.986e+03,2.507e+03,2.983e+03,1.348e+04
198.4,7.617e+03,2.848e+03,2.717e+03,1.318e+04
200.0,7.134e+03,3.034e+03,2.431e+03,1.260e+04
