freq,psd_x,psd_y,psd_z,psd_xyz
152.4,6.139e+02,2.393e+03,3.907e+03,6.913e+03
154.0,5.914e+02,1.829e+03,3.779e+03,6.199e+03
155.6,5.947e+02,1.597e+03,3.170e+03,5.361e+03
157.2,5.973e+02,1.498e+03,2.448e+03,4.543e+03
158.7,6.191e+02,1.283e+03,2.093e+03,3.995e+03
160.3,6.018e+02,1.062e+03,1.851e+03,3.514e+03
161.9,7.298e+02,1.166e+03,1.784e+03,3.679e+03
163.5,9.790e+02,1.507e+03,1.586e+03,4.072e+03
165.1,1.002e+03,1.616e+03,1.278e+03,3.896e+03
166.7,8.946e+02,1.525e+03,1.097e+03,3.516e+03
168.3,8.197e+02,1.420e+03,9.937e+02,3.233e+03
169.9,7.268e+02,1.346e+03,9.073e+02,2.980e+03
171.4,6.581e+02,1.332e+03,7.685e+02,2.758e+03
173.0,7.415e+02,1.636e+03,6.754e+02,3.053e+03
174.6,8.690e+02,1.619e+03,6.114e+02,3.100e+03
176.2,9.013e+02,1.544e+03,6.011e+02,3.047e+03
177.8,1.072e+03,1.777e+03,5.967e+02,3.445e+03
179.4,1.183e+03,1.826e+03,6.382e+02,3.648e+03
181.0,1.136e+03,1.735e+03,6.500e+02,3.521e+03
182.6,1.154e+03,1.634e+03,6.925e+02,3.481e+03
184.1,1.217e+03,1.586e+03,7.381e+02,3.541e+03
185.7,1.251e+03,1.580e+03,7.935e+02,3.625e+03
187.3,1.213e+03,1.623e+03,8.104e+02,3.647e+03
188.9,1.155e+03,1.814e+03,8.772e+02,3.847e+03
190.5,1.021e+03,1.924e+03,9.031e+02,3.848e+03
192.1,9.370e+02,1.970e+03,1.063e+03,3.970e+03
193.7,8.523e+02,1.940e+03,1.248e+03,4.040e+03
195.3,8.663e+02,2.185e+03,1.523e+03,4.574e+03
196.8,9.370e+02,2.531e+03,1.943e+03,5.411e+03
198.4,9.216e+02,2.857e+03,2.088e+03,5.866e+03
